iter	Passed	Remaining
783	941	259
784	942	258
785	943	256
786	944	255
787	945	254
788	945	252
789	946	251
790	947	250
791	948	249
792	949	247
793	951	246
794	952	245
795	953	244
796	954	243
797	955	241
798	956	240
799	957	239
800	958	238
801	959	236
802	960	235
803	961	234
804	962	233
805	963	231
806	964	230
807	965	229
808	967	228
809	968	227
810	969	225
811	970	224
812	971	223
813	972	222
814	973	220
815	974	219
816	975	218
817	976	217
818	977	215
819	977	214
820	978	213
821	980	212
822	981	211
823	982	209
824	983	208
825	984	207
826	985	206
827	986	205
828	988	203
829	989	202
830	990	201
831	991	200
832	992	198
833	993	197
834	995	196
835	996	195
836	997	194
837	998	193
838	999	191
839	1000	190
840	1001	189
841	1002	188
842	1003	186
843	1004	185
844	1005	184
845	1006	183
846	1007	181
847	1008	180
848	1009	179
849	1011	178
850	1012	177
851	1013	175
852	1013	174
853	1014	173
854	1015	172
855	1016	171
856	1017	169
857	1018	168
858	1019	167
859	1020	166
860	1021	164
861	1022	163
862	1023	162
863	1025	161
864	1026	160
865	1027	159
866	1028	157
867	1029	156
868	1030	155
869	1031	154
870	1032	152
871	1033	151
872	1034	150
873	1035	149
874	1036	148
875	1037	146
876	1038	145
877	1039	144
878	1040	143
879	1041	141
880	1042	140
881	1043	139
882	1044	138
883	1045	137
884	1046	135
885	1047	134
886	1048	133
887	1049	132
888	1050	131
889	1050	129
890	1051	128
891	1052	127
892	1053	126
893	1055	125
894	1056	123
895	1057	122
896	1057	121
897	1058	120
898	1059	119
899	1060	117
900	1061	116
901	1063	115
902	1064	114
903	1065	113
904	1066	111
905	1067	110
906	1068	109
907	1069	108
908	1070	107
909	1071	105
910	1072	104
911	1073	103
912	1074	102
913	1074	101
914	1075	99
915	1076	98
916	1077	97
917	1078	96
918	1079	95
919	1080	93
920	1081	92
921	1082	91
922	1084	90
923	1085	89
924	1086	88
925	1087	86
926	1088	85
927	1089	84
928	1090	83
929	1091	82
930	1092	80
931	1093	79
932	1094	78
933	1095	77
934	1096	76
935	1097	75
936	1099	73
937	1100	72
938	1101	71
939	1102	70
940	1103	69
941	1105	68
942	1106	66
943	1108	65
944	1109	64
945	1110	63
946	1111	62
947	1112	61
948	1113	59
949	1115	58
950	1116	57
951	1117	56
952	1118	55
953	1119	53
954	1120	52
955	1121	51
956	1122	50
957	1123	49
958	1124	48
959	1125	46
960	1126	45
961	1127	44
962	1128	43
963	1129	42
964	1130	41
965	1131	39
966	1132	38
967	1133	37
968	1134	36
969	1135	35
970	1137	33
971	1138	32
972	1138	31
973	1139	30
974	1140	29
975	1141	28
976	1143	26
977	1144	25
978	1145	24
979	1146	23
980	1147	22
981	1148	21
982	1149	19
983	1151	18
984	1152	17
985	1153	16
986	1154	15
987	1155	14
988	1155	12
989	1156	11
990	1157	10
991	1159	9
992	1160	8
993	1161	7
994	1162	5
995	1163	4
996	1164	3
997	1165	2
998	1166	1
999	1167	0
